Part,Qty,PCS per Qty,Manufacturer,Original Currency,Original Cost,Cost (USD),Cost (AED),Product link,Purchase Place
Custom Keyboard PCB (5 pcs),5,1,JLCPCB,USD,24.5,24.5,89.98,,JLC PCB
Bottom Case (9600 Resin),1,1,JLC3DP,USD,24.31,24.31,89.28,,JLC 3DP
Top Plate (9600 Resin),1,1,JLC3DP,USD,9.42,9.42,34.59,,JLC 3DP
Outemu Yellow Jade Silent Switches (80 pcs),1,80,JHSD,AED,78.38,21.34,78.38,https://ar.aliexpress.com/item/1005011633066141.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+82.91%21AED+78.76%21%21AED+78.76%21%21%21%4021410daa17848036278076744e1d68%2112000056112786793%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
KBDiy Retro Mac Keycaps,1,138,KBDiy,AED,91.11,24.81,91.11,https://ar.aliexpress.com/item/1005008405001968.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+198.03%21AED+87.33%21%21AED+87.33%21%21%21%4021410daa17848036278076744e1d68%2112000044900920205%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
Kailh Hot-swap Sockets ,1,100,Kailh,AED,26,7.08,26,https://ar.aliexpress.com/item/1005009594313632.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+47.30%21AED+26.00%21%21AED+26.00%21%21%21%4021410daa17848036278076744e1d68%2112000049567469621%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
Silicone Feet,1,4,Generic,AED,8.94,2.43,8.94,https://ar.aliexpress.com/item/1005012049221237.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+17.73%21AED+5.08%21%21AED+5.08%21%21%21%4021410daa17848035662865018e1d68%2112000057389408416%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
Plate Mount Stabilizers,1,5,iTLY,AED,8.89,2.42,8.89,https://ar.aliexpress.com/item/1005010775921825.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+18.72%21AED+5.02%21%21AED+5.02%21%21%21%4021410daa17848035662865018e1d68%2112000053471169400%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
EC11 Rotary Encoder,1,5,Generic,AED,20.89,5.69,20.89,https://ar.aliexpress.com/item/1005008716778661.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+21.15%21AED+13.77%21%21AED+13.77%21%21%21%4021410daa17848035662865018e1d68%2112000046368783802%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
Aluminum Knob,1,1,Generic,AED,12.28,3.34,12.28,https://ar.aliexpress.com/item/1005008625986032.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+12.28%21AED+12.28%21%21AED+12.28%21%21%21%4021410daa17848035662865018e1d68%2112000046005593860%21ct%21AE%216327129338%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2ara,Ali Express
M2x4 Screws,1,50,Generic,AED,4.64,1.26,4.64,https://ar.aliexpress.com/item/1005005618746295.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+7.53%21AED+3.75%21%21AED+3.75%21%21%21%4021410daa17848035662865018e1d68%2112000033767212227%21ct%21AE%216327129338%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2ara,Ali Express
M2 Heat Inserts,1,100,Generic,AED,3.75,1.02,3.75,https://ar.aliexpress.com/item/1005008897571758.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+13.51%21AED+3.75%21%21AED+3.75%21%21%21%4021410daa17848035662865018e1d68%2112000047114716294%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
1.3in SSH1106 OLED,1,1,Generic,AED,15.74,4.29,15.74,https://ar.aliexpress.com/item/1005007499971422.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+15.70%21AED+15.70%21%21AED+15.70%21%21%21%4021410daa17848035662865018e1d68%2112000041037847908%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
RP2040 Pico Type-C,1,1,RP2040,AED,11.79,3.21,11.79,https://ar.aliexpress.com/item/1005008948799927.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+11.71%21AED+3.75%21%21AED+3.75%21%21%21%4021410daa17848035662865018e1d68%2112000047322739294%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
SK6812 MINI-E LEDs (100),1,100,SK6812,AED,25.63,6.98,25.63,https://ar.aliexpress.com/item/1005005193716172.html?spm=a2g0o.cart.0.0.114538daJzFXtM&mp=1&pdp_npi=6%40dis%21AED%21AED+25.69%21AED+21.91%21%21AED+21.91%21%21%21%4021410daa17848035662865018e1d68%2112000032072424635%21ct%21AE%216327129338%21%211%210%21&gatewayAdapt=glo2ara,Ali Express
IN4148 High-speed switching diodes,1,100,TRIARK,AED,3.75,1.02,3.75,https://ar.aliexpress.com/item/1005009379098965.html?spm=a2g0o.productlist.main.1.7f41zO1zzO1zAC&algo_pvid=dacc5740-e64d-471e-b021-0481dc72c48c&algo_exp_id=dacc5740-e64d-471e-b021-0481dc72c48c-0&pdp_ext_f=%7B%22order%22%3A%22426%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%219.42%213.75%21%21%2116.85%216.70%21%402140f2bd17848037355201001e1e74%2112000048926087941%21sea%21AE%216327129338%21ABX%211%210%21n_tag%3A-29910%3Bd%3A92a1c79a%3Bm03_new_user%3A-29895%3BpisId%3A5000000210745761&curPageLogUid=wKenNV640iM4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009379098965%7C_p_origin_prod%3A,Ali Express
,,,,,,,,,
,,,,TOTAL,,142.1,521.89,,
,,,,,,,,,
,,,,SHIPPING (JLCPCB),USD 48.00,48,176.28,,
,,,,GRAND TOTAL,,190.1,698.17,,
